Zeitstempel,Produkt_Code,SDO_ID,Windgeschwindigkeit,Qualitaet_Niveau,Qualitaet_Byte,Leistung
201901010000,F_MN003,1346,2.4,4,10,882.0
201901010100,F_MN003,1346,3.2,4,10,565.5
201901010200,F_MN003,1346,3.3,4,10,557.9
201901010300,F_MN003,1346,1.8,4,10,698.6
201901010400,F_MN003,1346,3.2,4,10,755.4
201901010500,F_MN003,1346,3.6,4,10,629.5
201901010600,F_MN003,1346,4.3,4,10,624.3
201901010700,F_MN003,1346,5.2,4,10,563.0
201901010800,F_MN003,1346,4.5,4,10,509.8
201901010900,F_MN003,1346,6.7,4,10,524.1
201901011000,F_MN003,1346,7.9,4,10,549.8
201901011100,F_MN003,1346,7.8,4,10,623.5
201901011200,F_MN003,1346,7.0,4,10,624.2
201901011300,F_MN003,1346,7.3,4,10,656.8
201901011400,F_MN003,1346,8.6,4,10,709.0
201901011500,F_MN003,1346,7.8,4,10,688.5
201901011600,F_MN003,1346,7.9,4,10,730.0
201901011700,F_MN003,1346,7.2,4,10,767.8
201901011800,F_MN003,1346,6.9,4,10,772.1
201901011900,F_MN003,1346,9.4,4,10,828.5
201901012000,F_MN003,1346,10.4,4,10,854.7
201901012100,F_MN003,1346,10.5,4,10,971.2
201901012200,F_MN003,1346,10.8,4,10,1096.3
201901012300,F_MN003,1346,11.2,4,10,1120.3
201901020000,F_MN003,1346,11.4,4,10,1241.8
201901020100,F_MN003,1346,13.0,4,10,1323.7
201901020200,F_MN003,1346,12.0,4,10,1422.1
201901020300,F_MN003,1346,12.8,4,10,1537.4
201901020400,F_MN003,1346,13.1,4,10,1609.8
201901020500,F_MN003,1346,12.5,4,10,1767.8
201901020600,F_MN003,1346,12.8,4,10,1909.8
201901020700,F_MN003,1346,11.6,4,10,2038.2
201901020800,F_MN003,1346,10.2,4,10,2099.7
201901020900,F_MN003,1346,10.6,4,10,1994.0
201901021000,F_MN003,1346,10.9,4,10,1947.9
201901021100,F_MN003,1346,11.5,4,10,1999.7
201901021200,F_MN003,1346,11.8,4,10,1999.7
201901021300,F_MN003,1346,11.6,4,10,2060.3
201901021400,F_MN003,1346,10.7,4,10,2000.4
201901021500,F_MN003,1346,13.1,4,10,1995.6
201901021600,F_MN003,1346,13.1,4,10,1951.9
201901021700,F_MN003,1346,12.6,4,10,1892.7
201901021800,F_MN003,1346,13.7,4,10,1821.6
201901021900,F_MN003,1346,14.8,4,10,1821.6
201901022000,F_MN003,1346,12.7,4,10,1901.5
201901022100,F_MN003,1346,10.5,4,10,1961.7
201901022200,F_MN003,1346,9.7,4,10,1876.5
201901022300,F_MN003,1346,9.0,4,10,1804.1
201901030000,F_MN003,1346,9.0,4,10,1631.5
201901030100,F_MN003,1346,7.9,4,10,1488.0
201901030200,F_MN003,1346,6.5,4,10,1352.1
201901030300,F_MN003,1346,7.5,4,10,1237.4
201901030400,F_MN003,1346,8.0,4,10,1127.5
201901030500,F_MN003,1346,9.5,4,10,1048.0
201901030600,F_MN003,1346,11.3,4,10,1101.2
201901030700,F_MN003,1346,10.0,4,10,1047.3
201901030800,F_MN003,1346,9.2,4,10,972.1
201901030900,F_MN003,1346,9.6,4,10,969.1
201901031000,F_MN003,1346,8.5,4,10,957.8
201901031100,F_MN003,1346,7.9,4,10,881.0
201901031200,F_MN003,1346,7.8,4,10,888.7
201901031300,F_MN003,1346,7.4,4,10,871.6
201901031400,F_MN003,1346,6.7,4,10,875.1
201901031500,F_MN003,1346,5.9,4,10,806.6
